;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product and Components selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkiye, Rep of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indicator;;Base Year;Scale;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2
;National Accounts, Current Prices, Unadjusted;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;
;Gross Domestic Product, Nominal, Undjusted, Domestic Currency;;Millions;241.906,40;280.563,10;320.736,30;324.458,70;292.851,20;338.785,30;384.630,80;388.660,30;335.737,80;385.033,70;427.747,20;432.960,60;388.660,90;444.833,50;494.782,60;495.150,40;454.056,30;490.144,40;551.348,10;559.349,10;500.472,60;566.138,60;634.505,30;649.824,80;567.941,70;635.574,60;670.483,70;752.559,70;654.453,60;740.272,40;839.912,10;899.066,20;796.936,70;898.704,10;1.037.545,00;1.027.980,00;926.068,40;1.030.611,00;1.158.055,00;1.203.076,00;1.070.119,00;1.037.559,00;1.415.739,00;1.525.151,00;1.396.396,00;1.594.424,00;1.933.705,00;2.331.616,00;2.519.789,00;3.424.670,00;4.273.138,00;4.794.179,00;4.687.492,00;5.571.440,00;7.759.106,00;8.527.683,00;8.858.091,00;9.949.792,00;
;Household Consumption Expenditure, incl. NPISHs, Nominal, Undjusted, Domestic Currency;;Millions;157.879,62;176.235,19;198.597,96;199.169,13;193.800,52;215.915,63;232.602,84;238.754,49;219.150,49;239.614,64;259.352,52;260.977,25;246.647,77;271.531,60;298.417,67;301.226,52;272.498,43;300.470,05;329.140,95;338.386,66;312.671,59;343.311,93;368.504,35;386.585,08;345.965,79;379.579,36;393.382,07;441.468,60;393.444,04;439.710,68;483.352,43;520.120,90;462.033,58;509.907,82;566.671,80;574.473,47;520.373,27;591.180,77;657.521,49;687.578,57;609.388,29;600.321,72;810.157,93;846.105,81;773.216,15;876.365,10;1.062.666,37;1.296.420,23;1.453.105,62;1.955.214,88;2.416.178,60;2.778.535,35;2.804.330,37;3.435.372,63;4.456.094,24;5.067.824,92;5.027.212,26;6.012.254,77;
